run_id,activity,start_idx,end_idx,m6_label,m6_score,m6_threshold
20240503_163963,Pick up and place,0,199,0,0.1982851018220793,0.8999642729546267
20240503_163963,Pick up and place,10,209,0,0.14790996784565916,0.8999642729546267
20240503_163963,Pick up and place,20,219,0,0.13433369060378705,0.8999642729546267
20240503_163963,Pick up and place,30,229,0,0.09217577706323687,0.8999642729546267
20240503_163963,Pick up and place,40,239,0,0.011075384065737763,0.8999642729546267
20240503_163963,Pick up and place,50,249,0,0.007145409074669525,0.8999642729546267
20240503_163963,Pick up and place,60,259,0,0.00857449088960343,0.8999642729546267
20240503_163963,Pick up and place,70,269,0,0.006073597713469096,0.8999642729546267
20240503_163963,Pick up and place,80,279,0,0.007502679528403001,0.8999642729546267
20240503_163963,Pick up and place,90,289,0,0.008217220435869954,0.8999642729546267
20240503_163963,Pick up and place,100,299,0,0.2454448017148982,0.8999642729546267
20240503_163963,Pick up and place,110,309,0,0.23294033583422652,0.8999642729546267
20240503_163963,Pick up and place,120,319,0,0.2436584494462308,0.8999642729546267
20240503_163963,Pick up and place,130,329,0,0.2497320471596999,0.8999642729546267
20240503_163963,Pick up and place,140,339,0,0.2515183994283673,0.8999642729546267
20240503_163963,Pick up and place,150,349,0,0.2522329403358342,0.8999642729546267
20240503_163963,Pick up and place,160,359,0,0.27116827438370844,0.8999642729546267
20240503_163963,Pick up and place,170,369,0,0.3236870310825295,0.8999642729546267
20240503_163963,Pick up and place,180,379,0,0.32976062879599854,0.8999642729546267
20240503_163963,Pick up and place,190,389,0,0.34047874240800285,0.8999642729546267
20240503_163963,Pick up and place,200,399,0,0.3558413719185423,0.8999642729546267
20240503_163963,Pick up and place,210,409,0,0.3669167559842801,0.8999642729546267
20240503_163963,Pick up and place,220,419,0,0.37977849231868527,0.8999642729546267
20240503_163963,Pick up and place,230,429,0,0.36620221507681316,0.8999642729546267
20240503_163963,Pick up and place,240,439,0,0.25044658806716685,0.8999642729546267
20240503_163963,Pick up and place,250,449,0,0.2647374062165059,0.8999642729546267
20240503_163963,Pick up and place,260,459,0,0.25187566988210075,0.8999642729546267
20240503_163963,Pick up and place,270,469,0,0.25187566988210075,0.8999642729546267
20240503_163963,Pick up and place,280,479,0,0.25187566988210075,0.8999642729546267
20240503_163963,Pick up and place,290,489,0,0.2497320471596999,0.8999642729546267
20240503_163963,Pick up and place,300,499,0,0.24294390853876385,0.8999642729546267
20240503_163963,Pick up and place,310,509,0,0.24866023579849947,0.8999642729546267
20240503_163963,Pick up and place,320,519,0,0.24151482672382993,0.8999642729546267
20240503_163963,Pick up and place,330,529,0,0.24294390853876385,0.8999642729546267
20240503_163963,Pick up and place,340,539,0,0.24294390853876385,0.8999642729546267
20240503_163963,Pick up and place,350,549,0,0.2497320471596999,0.8999642729546267
20240503_163963,Pick up and place,360,559,0,0.2454448017148982,0.8999642729546267
20240503_163963,Pick up and place,370,569,0,0.35083958556627365,0.8999642729546267
20240503_163963,Pick up and place,380,579,0,0.24615934262236513,0.8999642729546267
20240503_163963,Pick up and place,390,589,0,0.3129689174705252,0.8999642729546267
20240503_163963,Pick up and place,400,599,0,0.24687388352983208,0.8999642729546267
20240503_163963,Pick up and place,410,609,0,0.24901750625223293,0.8999642729546267
20240503_163963,Pick up and place,420,619,1,0.24901750625223293,0.8999642729546267
20240503_163963,Pick up and place,430,629,1,0.43193997856377275,0.8999642729546267
20240503_163963,Pick up and place,440,639,1,0.7842086459449803,0.8999642729546267
20240503_163963,Pick up and place,450,649,1,0.9599857091818507,0.8999642729546267
20240503_163963,Pick up and place,460,659,1,0.984994640943194,0.8999642729546267
20240503_163963,Pick up and place,470,669,1,0.9853519113969275,0.8999642729546267
20240503_163963,Pick up and place,480,679,1,0.9853519113969275,0.8999642729546267
20240503_163963,Pick up and place,490,689,1,0.9853519113969275,0.8999642729546267
20240503_163963,Pick up and place,500,699,1,0.9853519113969275,0.8999642729546267
20240503_163963,Pick up and place,510,709,1,0.992497320471597,0.8999642729546267
20240503_163963,Pick up and place,520,719,1,0.992497320471597,0.8999642729546267
20240503_163963,Pick up and place,530,729,1,0.992497320471597,0.8999642729546267
20240503_163963,Pick up and place,540,739,1,0.992497320471597,0.8999642729546267
20240503_163963,Pick up and place,550,749,1,0.992497320471597,0.8999642729546267
20240503_163963,Pick up and place,560,759,1,0.9853519113969275,0.8999642729546267
20240503_163963,Pick up and place,570,769,1,0.9853519113969275,0.8999642729546267
20240503_163963,Pick up and place,580,779,1,0.9853519113969275,0.8999642729546267
20240503_163963,Pick up and place,590,789,1,0.9853519113969275,0.8999642729546267
20240503_163963,Pick up and place,600,799,1,0.9853519113969275,0.8999642729546267
20240503_163963,Pick up and place,610,809,1,0.9853519113969275,0.8999642729546267
